,DISTTYPE,IMG,APP,ID,JOB_ID,TASKS_PER_NODE,START_OF_FILE,START_OF_APPLICATION,MAX_STARTUP,MAX_IMPORT,MAX_VISIT,MAX_MPI,MAX_TOTAL,END_OF_APPLICATION,END_OF_FILE,LUSTREBLOCK,SQUASHBLOCK,STRIPE_PATTERN,CLUSTER_NAME,CPUS_PER_NODE,NODECOUNT
121,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/all/pynamic.sqfs,PYNAMIC,1542166294.729948707,12094,32(x512),1542166294.760347512,1542166314.895572650,12.5195639133,4.3925549984,31.8820250034,7.30302500725,51.880468845310006,1542166369.523318969,1542166383.148645704,64k,1m,all,moon,32,512
122,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1542164249.320769557,12080,32(x1024),1542164249.352077514,1542164257.553604858,2.88807940483,2.56634688377,29.790143013,7.24585604668,40.786520719509994,1542164305.558287481,1542164313.814060797,64k,1m,two,moon,32,1024
123,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1541705628.588335288,11238,32(x128),1541705628.617566273,1541705633.617716447,9.68161201477,2.95420312881,30.1271867752,7.29193997383,47.27968668943,1541705682.162887804,1541705685.594275996,1m,128k,two,moon,32,128
124,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/all/pynamic.sqfs,PYNAMIC,1542159525.884770416,12043,32(x128),1542159525.916060076,1542159531.019587153,12.5154340267,4.47409701347,31.631084919,7.23606395721,51.86035823828,1542159584.480975352,1542159587.962981447,1m,1m,all,moon,32,128
125,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/two/pynamic.sqfs,PYNAMIC,1541778640.593403306,11562,32(x512),1541778640.624546173,1541778644.672977028,2.78317403793,2.21828508377,29.7010979652,7.3724219799,40.87754392625,1541778687.742087104,1541778691.811799798,1m,1m,two,moon,32,512
126,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1541700611.865097804,11210,32,1541700611.894930297,1541700613.177940142,21.3314466476,6.29475712776,25.4295549393,6.51923298836,55.2172095776,1541700671.721678717,1541700672.413993885,1m,128k,two,moon,32,1
127,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541782305.566189986,11576,32(x128),1541782305.595994437,1541782309.707963053,35.9438118935,19.9411411285,32.2133629322,7.13629889488,71.68848896026,1541782385.653466724,1541782388.110968134,64k,1m,two,moon,32,128
128,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541736184.233798020,11358,32(x128),1541736184.263296615,1541736189.356322395,6.70822167397,3.05739498138,30.2716259956,7.28452086449,44.93824219702,1541736235.820757400,1541736239.305690465,1m,128k,one,moon,32,128
129,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1542171667.662939295,12137,32,1542171667.694209324,1542171668.010499119,5.22902941704,2.08517384529,30.0234611034,6.490473032,43.67621064183,1542171712.276564744,1542171712.590407896,64k,128k,all,moon,32,1
130,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541748351.583912041,11416,32(x128),1541748351.614159720,1541748356.731248266,17.2363524437,4.46299886703,32.0457668304,7.23966789246,57.44031858443,1541748415.995747212,1541748419.473589823,1m,1m,one,moon,32,128
131,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541739338.374946826,11370,32,1541739338.406048542,1541739338.726847378,5.84028029442,2.0529589653,30.2105519772,7.0177719593,44.400143384950006,1541739385.353516277,1541739385.658096916,1m,128k,one,moon,32,1
132,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541737595.735972218,11364,32(x512),1541737595.766063313,1541737615.771766473,12.3858106136,3.03775811195,30.4422800541,7.3179898262,50.76825261107,1541737669.737125844,1541737683.392426775,1m,128k,one,moon,32,512
133,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541745978.867493971,11402,32(x512),1541745978.897757730,1541745996.481519804,36.2171516418,20.4200730324,32.6778321266,7.28963208199,73.24011659626001,1541746075.610958842,1541746085.278820461,1m,1m,one,moon,32,512
134,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541838105.952548546,11833,32,1541838105.982506360,1541838107.435614162,6.47676110268,2.71187615395,29.2433409691,7.04074716568,44.21205925942,1541838153.248218936,1541838154.232573927,64k,128k,all,moon,32,1
135,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541837114.790804552,11827,32(x1024),1541837114.820463174,1541837146.956632362,25.6513454914,16.4487738609,34.0302779675,7.20504021645,61.14094734193,1541837215.335034627,1541837234.944347363,64k,128k,all,moon,32,1024
136,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541791108.982174160,11614,32,1541791109.013310108,1541791109.336187326,2.66237020493,1.74031615257,29.4355812073,6.94875502586,40.74223113055,1541791150.667553813,1541791150.979391380,64k,1m,two,moon,32,1
137,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541787684.194013088,11600,32(x512),1541787684.223446170,1541787705.801196948,33.8628163338,4.50951099396,31.7242569923,7.27479290962,73.08364224436,1541787781.425883195,1541787795.022567208,64k,1m,two,moon,32,512
138,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541791379.748681265,11616,32(x128),1541791379.779914672,1541791380.843037019,2.76154255867,1.94752502441,29.7050440311,7.27845001221,40.853728771200004,1541791422.780676568,1541791423.842805987,64k,1m,two,moon,32,128
139,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541788044.442795055,11602,32(x512),1541788044.472208597,1541788064.546822541,12.4424080849,4.47039103508,32.0093619823,7.27925610542,52.83618116369,1541788120.524919644,1541788134.024783657,64k,1m,two,moon,32,512
140,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541835131.967234645,11819,32(x128),1541835131.997025957,1541835136.138804192,24.7465472221,15.6445088387,30.1505460739,7.16622805595,60.389564037359996,1541835200.353748695,1541835202.852147786,64k,128k,all,moon,32,128
141,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541837866.027543127,11831,32,1541837866.057481330,1541837867.526474781,6.18579649925,2.65706992149,28.8729438782,7.17648696899,43.949101448019995,1541837913.323275904,1541837914.289477107,64k,128k,all,moon,32,1
142,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541836694.247767763,11825,32(x1024),1541836694.278304126,1541836729.753810917,28.2791380882,17.0590941906,30.582679987,7.31119298935,63.46796131133,1541836800.104846576,1541836819.677249173,64k,128k,all,moon,32,1024
143,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541739579.321387558,11372,32,1541739579.351686591,1541739579.668352440,2.65673446655,1.74319601059,29.3217508793,6.43192481995,40.0422923565,1541739620.248726030,1541739620.555908968,1m,128k,one,moon,32,1
144,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541748081.160372306,11414,32,1541748081.190487613,1541748082.628411231,11.2941670418,3.65955901146,31.4032349586,6.40786314011,51.06675791731,1541748135.233745709,1541748136.218045424,1m,1m,one,moon,32,1
145,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541745077.798421437,11400,32(x512),1541745077.827723965,1541745094.024480066,75.1551291943,20.1261489391,32.188657999,7.2477350235,111.99305105206,1541745211.539934478,1541745221.240452440,1m,1m,one,moon,32,512
146,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/all/pynamic.sqfs,PYNAMIC,1542167829.203828133,12109,32(x512),1542167829.234667751,1542167833.292456055,2.78769373894,1.89568901062,29.7663497925,7.23939013481,40.63222050672,1542167876.542920480,1542167880.618562925,64k,1m,all,moon,32,512
147,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541751027.468429324,11428,32(x1024),1541751027.499040780,1541751067.500474649,13.8075072765,4.53492188454,32.1614019871,7.35830593109,53.120324134760004,1541751129.586209878,1541751156.671991241,1m,1m,one,moon,32,1024
148,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/all/pynamic.sqfs,PYNAMIC,1542169544.806795762,12121,32(x1024),1542169544.837642789,1542169552.871359669,2.92882323265,2.38895916939,29.7893080711,7.27476811409,40.57007455830001,1542169601.028459578,1542169609.299079120,64k,1m,all,moon,32,1024
149,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1542171471.553149989,12135,32(x512),1542171471.584273068,1542171487.884354485,28.608104229,16.5630838871,30.3844490051,7.29962396622,63.76577305795001,1542171557.305051071,1542171567.000364913,64k,128k,all,moon,32,512
150,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541744927.331224857,11399,32(x128),1541744927.361273382,1541744931.471235651,35.6138699055,19.4413011074,32.7410480976,7.20991778374,73.25696468354,1541745008.549665874,1541745011.041143536,1m,1m,one,moon,32,128
151,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1542162505.625706818,12069,32(x1024),1542162505.656818634,1542162538.122326821,37.3558118343,21.4962508678,32.4634649754,7.70320701599,73.33438682556,1542162617.713878835,1542162637.254915571,64k,1m,two,moon,32,1024
152,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/two/pynamic.sqfs,PYNAMIC,1541778339.825332976,11560,32(x512),1541778339.856513267,1541778344.439003697,49.7138695717,1.95376205444,29.6441690922,7.30474901199,87.85631847386,1541778434.674975308,1541778438.756933838,1m,1m,two,moon,32,512
153,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541782005.624322464,11574,32,1541782005.654956932,1541782006.813433830,29.3205680847,14.9007148743,28.0572619438,6.43040680885,66.14995193487,1541782075.915952753,1541782076.595262864,64k,1m,two,moon,32,1
154,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1541700912.471234113,11212,32,1541700912.501710362,1541700913.658931059,21.5254983902,11.9447691441,27.7404019833,6.77944803238,57.1257653237,1541700973.975159495,1541700974.682872469,1m,128k,two,moon,32,1
